name,f_nom,r_per_length,x_per_length,c_per_length,i_nom,mounting,cross_section,references
NAYY 4x150 SE,50.0,0.20800000000000002,0.08,261.0,0.27,cs,150.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
NAYY 4x50 SE,50.0,0.642,0.083,210.0,0.142,cs,50.0,pandapower;Heuck et al. Elektrische Energieversorgung 8. Auflage (2010); Vierweg+Teubner (2013);Werth Netzberechnung mit Erzeugungsprofilen
Al/St 240/40 2-bundle 220.0,50.0,0.06,0.301,12.5,1.29,ol,240.0,"Oeding and Oswald ""Elektrische Kraftwerke und Netze"", 2011, Chapter 9"
Al/St 240/40 3-bundle 300.0,50.0,0.04,0.265,13.2,1.935,ol,240.0,"Oeding and Oswald ""Elektrische Kraftwerke und Netze"", 2011, Chapter 9"
Al/St 240/40 4-bundle 380.0,50.0,0.03,0.24600000000000002,13.8,2.58,ol,240.0,"Oeding and Oswald ""Elektrische Kraftwerke und Netze"", 2011, Chapter 9"
N2XS2Y1x035,50.0,0.524,0.14105751014618173,219.0,187.0,cable,35.0,custom
N2XS2Y1x050,50.0,0.387,0.1341460063082842,243.0,220.0,cable,50.0,custom
N2XS2Y1x070,50.0,0.268,0.12692034320502762,275.0,268.0,cable,70.0,custom
N2XS2Y1x095,50.0,0.193,0.12095131716320703,309.0,320.0,cable,95.0,custom
N2XS2Y1x120,50.0,0.153,0.11686724671354033,339.0,363.0,cable,120.0,custom
N2XS2Y1x150,50.0,0.124,0.11309733552923255,367.0,405.0,cable,150.0,custom
N2XS2Y1x185,50.0,0.0991,0.10901326507956584,400.0,456.0,cable,185.0,custom
N2XS2Y1x240,50.0,0.0754,0.10492919462989908,446.0,526.0,cable,240.0,custom
N2XS2Y1x300,50.0,0.0601,0.10210176124166828,489.0,591.0,cable,300.0,custom
N2XS2Y1x400,50.0,0.047,0.09896016858807849,542.0,662.0,cable,400.0,custom
N2XS2Y1x500,50.0,0.069,0.09613273519984768,603.0,744.0,cable,500.0,custom
N2XS2Y1x035,50.0,0.524,0.152053084433746,155.0,189.0,cable,35.0,custom
N2XS2Y1x050,50.0,0.387,0.14514158059584847,171.0,222.0,cable,50.0,custom
N2XS2Y1x070,50.0,0.268,0.136973439696515,191.0,271.0,cable,70.0,custom
N2XS2Y1x095,50.0,0.193,0.13006193585861744,212.0,323.0,cable,95.0,custom
N2XS2Y1x120,50.0,0.153,0.12503538761287375,231.0,367.0,cable,120.0,custom
N2XS2Y1x150,50.0,0.124,0.12095131716320703,249.0,409.0,cable,150.0,custom
N2XS2Y1x185,50.0,0.0991,0.11686724671354033,270.0,461.0,cable,185.0,custom
N2XS2Y1x240,50.0,0.0754,0.11215485773315564,298.0,532.0,cable,240.0,custom
N2XS2Y1x300,50.0,0.0601,0.10901326507956584,325.0,599.0,cable,300.0,custom
N2XS2Y1x400,50.0,0.047,0.10587167242597605,358.0,671.0,cable,400.0,custom
N2XS2Y1x500,50.0,0.069,0.10210176124166828,396.0,754.0,cable,500.0,custom
N2XS2Y1x035,50.0,0.524,0.1630486587213103,122.0,187.0,cable,35.0,custom
N2XS2Y1x050,50.0,0.387,0.15488051782197682,133.0,220.0,cable,50.0,custom
N2XS2Y1x070,50.0,0.268,0.1460840583919254,148.0,268.0,cable,70.0,custom
N2XS2Y1x095,50.0,0.193,0.13885839528866886,163.0,320.0,cable,95.0,custom
N2XS2Y1x120,50.0,0.153,0.1341460063082842,176.0,363.0,cable,120.0,custom
N2XS2Y1x150,50.0,0.124,0.13006193585861744,188.0,405.0,cable,150.0,custom
N2XS2Y1x185,50.0,0.0991,0.12503538761287375,203.0,456.0,cable,185.0,custom
N2XS2Y1x240,50.0,0.0754,0.12000883936713011,223.0,526.0,cable,240.0,custom
N2XS2Y1x300,50.0,0.0601,0.11592476891746337,241.0,591.0,cable,300.0,custom
N2XS2Y1x400,50.0,0.047,0.11215485773315564,264.0,662.0,cable,400.0,custom
N2XS2Y1x500,50.0,0.069,0.10807078728348889,291.0,744.0,cable,500.0,custom
NA2XS2Y1x050,50.0,0.644,0.1341460063082842,243.0,171.0,cable,50.0,custom
NA2XS2Y1x070,50.0,0.446,0.12692034320502762,275.0,208.0,cable,70.0,custom
NA2XS2Y1x095,50.0,0.32299999999999995,0.12095131716320703,309.0,248.0,cable,95.0,custom
NA2XS2Y1x120,50.0,0.256,0.11686724671354033,339.0,283.0,cable,120.0,custom
NA2XS2Y1x150,50.0,0.21100000000000002,0.11309733552923255,367.0,315.0,cable,150.0,custom
NA2XS2Y1x185,50.0,0.16899999999999998,0.10901326507956584,400.0,357.0,cable,185.0,custom
NA2XS2Y1x240,50.0,0.13,0.10492919462989908,446.0,413.0,cable,240.0,custom
NA2XS2Y1x300,50.0,0.106,0.10210176124166828,489.0,466.0,cable,300.0,custom
